alpha,beta,mcs,s0,s1,s2,s3,s4,s5,s6,s7,length,stable
0.1,0.75,50000,0.2835,0.1867,0.2268,0.1251,0.1122,0,0,0.0657,100,false
0.1,0.75,100000,0.1515,0.1121,0.1824,0.2175,0.2708,0,0,0.0657,100,false
0.1,0.8,10000,0.1755,0.1925,0.3049,0.131,0.1322,0,0,0.0639,100,false
0.1,0.8,50000,0.2277,0.1374,0.1733,0.1369,0.2608,0,0,0.0639,100,false
0.1,0.8,100000,0.2509,0.1094,0.1748,0.1975,0.2035,0,0,0.0639,100,false
0.1,0.85,10000,0.2198,0.204,0.2249,0.1169,0.1684,0,0,0.066,100,false
0.1,0.85,50000,0.3073,0.2022,0.1431,0.1427,0.1387,0,0,0.066,100,false
0.1,0.85,100000,0.2347,0.1409,0.2037,0.1185,0.2362,0,0,0.066,100,false
0.1,0.9,10000,0.3375,0.1122,0.1322,0.1137,0.2351,0,0,0.0693,100,false
0.1,0.9,50000,0.2294,0.1966,0.2017,0.1558,0.1472,0,0,0.0693,100,false
0.1,0.9,100000,0.1986,0.2237,0.2258,0.1229,0.1597,0,0,0.0693,100,false
0.1,0.95,10000,0.1714,0.1672,0.1767,0.2342,0.1894,0,0,0.0611,100,false
0.1,0.95,50000,0.1623,0.1182,0.2458,0.2477,0.1649,0,0,0.0611,100,false
0.1,0.95,100000,0.1744,0.1832,0.1956,0.151,0.2347,0,0,0.0611,100,false
0.1,1,10000,0.2321,0.1816,0.2122,0.1433,0.1607,0,0,0.0701,100,false
0.1,1,50000,0.2102,0.1179,0.2562,0.1516,0.194,0,0,0.0701,100,false
0.1,1,100000,0.1248,0.1317,0.2039,0.2085,0.261,0,0,0.0701,100,false
0.15,0,10000,0.6736,0.0019,0.0004,0.1139,0.0693,0.0413,0.0529,0.0467,100,false
0.15,0,50000,0.6736,0.0019,0.0004,0.1139,0.0693,0.0413,0.0529,0.0467,100,true
0.15,0,100000,0.6736,0.0019,0.0004,0.1139,0.0693,0.0413,0.0529,0.0467,100,true
0.15,0.05,10000,0.6341,0.0001,0,0.2709,0,0.0185,0.0269,0.0495,100,false
0.15,0.05,50000,0.6341,0.0001,0,0.2709,0,0.0185,0.0269,0.0495,100,true
0.15,0.05,100000,0.6341,0.0001,0,0.2709,0,0.0185,0.0269,0.0495,100,true
0.15,0.1,10000,0.6982,0,0,0.2261,0,0.011,0.0137,0.051,100,false
0.15,0.1,50000,0.6982,0,0,0.2261,0,0.011,0.0137,0.051,100,true
0.15,0.1,100000,0.6982,0,0,0.2261,0,0.011,0.0137,0.051,100,true
0.15,0.15,10000,0.2862,0,0.3469,0,0.316,0,0,0.0509,100,false
0.15,0.15,50000,0.3045,0,0.3062,0,0.3384,0,0,0.0509,100,false
0.15,0.15,100000,0.2823,0,0.3857,0,0.2811,0,0,0.0509,100,false
