mcs,s1,s2,s3,s4,s5
28590,20.605,20.7625,14.2225,20.14,16.575
28591,20.595,20.745,14.28,20.34,16.5625
28592,20.5775,20.83,14.1625,20.425,16.5375
28593,20.54,20.7325,14.055,20.5375,16.5025
28594,20.6075,20.81,14.0625,20.53,16.4675
28595,20.6925,20.715,14.03,20.66,16.3
28596,20.7,20.7425,13.9625,20.715,16.135
28597,20.8225,20.76,13.995,20.945,16.115
28598,20.775,20.58,13.955,21.065,16.095
28599,20.81,20.5375,13.8825,21.135,16.065
28600,20.9575,20.5,13.8625,21.2875,15.9
28601,20.925,20.36,13.85,21.3325,15.8425
28602,20.8875,20.3875,13.735,21.4625,15.8425
28603,20.9325,20.31,13.7825,21.515,15.8675
28604,21.015,20.25,13.81,21.595,15.7725
28605,21.1175,20.1325,13.75,21.705,15.6975
28606,21.1625,20.0675,13.78,21.8575,15.7875
28607,21.155,20.08,13.7175,21.8225,15.6875
28608,21.23,19.98,13.68,21.94,15.6825
28609,21.305,19.7575,13.6925,22.0625,15.65
28610,21.32,19.745,13.735,22.1375,15.6425
28611,21.345,19.5825,13.6725,22.16,15.6075
28612,21.3425,19.4575,13.7075,22.2725,15.66
28613,21.4275,19.3225,13.7475,22.33,15.6625
28614,21.58,19.24,13.775,22.445,15.605
28615,21.6725,19.2725,13.71,22.565,15.4525
28616,21.8375,19.15,13.6475,22.55,15.41
28617,21.7675,19.0875,13.725,22.5975,15.545
28618,22.0175,18.8925,13.7375,22.5975,15.3825
28619,22.0575,18.6925,13.81,22.74,15.2925
28620,22.28,18.67,13.8825,22.755,15.2325
28621,22.2775,18.47,13.875,22.68,15.19
28622,22.325,18.42,13.8275,22.6575,15.2475
28623,22.4275,18.21,13.905,22.7875,15.27
28624,22.55,18.0475,13.8575,22.6675,15.2825
28625,22.765,17.9475,13.91,22.7025,15.2625
28626,22.9225,17.865,13.915,22.6475,15.155
28627,22.9175,17.91,13.95,22.6525,15.255
28628,22.9825,17.8,13.975,22.7,15.2275
28629,23.0725,17.595,14.02,22.5825,15.2275
28630,23.295,17.53,13.935,22.6,15.155
28631,23.425,17.4075,13.9375,22.635,15.115
28632,23.5725,17.35,14.0275,22.4225,15.055
28633,23.715,17.33,14.1,22.545,15.1025
28634,23.7825,17.175,14.075,22.405,15.13
28635,23.8975,17.0825,14.1575,22.295,15.12
28636,24.1325,16.9125,14.195,22.185,15.1975
28637,24.335,16.865,14.0875,21.98,15.2325
28638,24.5225,16.735,14.1275,21.9375,15.375
28639,24.545,16.5725,14.11,21.84,15.355
28640,24.7,16.515,14.1275,21.72,15.375
28641,24.8075,16.5125,14.1825,21.64,15.5575
28642,25.03,16.41,14.0825,21.515,15.5825
28643,25.1475,16.355,14.1,21.3575,15.71
28644,25.355,16.34,14.175,21.2025,15.79
28645,25.3625,16.2775,14.155,21.05,15.84
28646,25.485,16.2175,14.2425,20.975,15.93
28647,25.46,16.2075,14.175,20.78,15.9675
28648,25.465,16.175,14.2425,20.66,16.0475
28649,25.4475,16.2,14.3525,20.4975,16.1775
28650,25.355,16.165,14.4975,20.3725,16.3125
28651,25.3825,16.16,14.5725,20.23,16.295
28652,25.2425,16.1725,14.6125,20.2475,16.41
28653,25.36,16.165,14.7125,20.1375,16.5375
28654,25.2475,16.2625,14.855,20.0825,16.525
28655,25.255,16.25,15.0125,19.925,16.54
28656,25.12,16.225,15.075,19.7,16.73
28657,25.05,16.225,15.295,19.59,16.74
28658,24.965,16.1275,15.2575,19.5425,16.915
28659,24.905,16.2025,15.275,19.395,17.0125
28660,24.905,16.1925,15.4125,19.3675,17.0225
28661,24.755,16.1725,15.5,19.245,17.1475
28662,24.7925,16.2925,15.525,19.1275,17.2525
28663,24.6325,16.2075,15.5775,19.11,17.305
28664,24.6575,16.1975,15.7225,18.9525,17.3975
28665,24.5325,16.235,15.6775,18.9775,17.51
28666,24.35,16.3,15.7875,18.8725,17.5625
