alpha,beta,gamma,mcs,s0,s1,s2,s3,s4,s5,s6,s7,length,stable
0.35,0.75,1,10000,0.100758,0.225522,0.10627,0.0815953,0.212267,0.0100516,0.141644,0.121892,800,false
0.3,0.75,1,500000,0.125653,0.205228,0.122434,0.0863562,0.197411,0,0.148034,0.114883,800,false
0.35,0.75,1,1000,0.0684281,0.2218,0.0768563,0.141934,0.134852,0.0865156,0.088175,0.181439,800,false
0.35,0.75,1,10000,0.0957094,0.2279,0.107725,0.0900125,0.183,0.0231766,0.128647,0.14383,800,false
0.35,0.75,1,50000,0.102639,0.213369,0.115111,0.0859531,0.206025,0,0.161191,0.115712,800,false
0.35,0.75,1,50000,0.0887469,0.219003,0.108441,0.0806328,0.229252,0,0.152848,0.121077,800,false
0.35,0.75,1,100000,0.0927969,0.214981,0.11503,0.0708609,0.223381,0,0.148584,0.134366,800,false
0.35,0.75,1,100000,0.0982375,0.222811,0.116392,0.0792812,0.20438,0,0.1476,0.131298,800,false
0.4,0.75,1,500000,0,0.250533,0,0.252555,0,0.249691,0,0.247222,800,false
0,0.75,1,10000,0.00224844,0.397102,0.00582969,0.220177,0.0639516,0.0825891,0.0213,0.206803,800,true
0,0.75,1,50000,0.00224844,0.397102,0.00582969,0.220177,0.0639516,0.0825891,0.0213,0.206803,800,true
0,0.75,1,100000,0.00224844,0.397102,0.00582969,0.220177,0.0639516,0.0825891,0.0213,0.206803,800,true
0,0.75,1,250000,0.00224844,0.397102,0.00582969,0.220177,0.0639516,0.0825891,0.0213,0.206803,800,true
0,0.75,1,500000,0.00224844,0.397102,0.00582969,0.220177,0.0639516,0.0825891,0.0213,0.206803,800,true
0.05,0.75,1,1000,0.0959266,0.178864,0.0944594,0.142572,0.114319,0.1067,0.0905953,0.176564,800,false
0.05,0.75,1,10000,0.153809,0.188052,0.146019,0.0962047,0.170452,0.0046125,0.122477,0.118375,800,false
0.4,0.75,1,500000,0,0.250723,0,0.253703,0,0.241994,0,0.25358,800,false
0,0.75,1,1000,0.00230469,0.393462,0.00566875,0.222148,0.0613047,0.0817453,0.0228953,0.21047,800,false
0,0.75,1,10000,0.00230469,0.393462,0.00566875,0.222148,0.0613047,0.0817453,0.0228953,0.21047,800,true
0,0.75,1,50000,0.00230469,0.393462,0.00566875,0.222148,0.0613047,0.0817453,0.0228953,0.21047,800,true
0,0.75,1,100000,0.00230469,0.393462,0.00566875,0.222148,0.0613047,0.0817453,0.0228953,0.21047,800,true
0,0.75,1,250000,0.00230469,0.393462,0.00566875,0.222148,0.0613047,0.0817453,0.0228953,0.21047,800,true
0,0.75,1,500000,0.00230469,0.393462,0.00566875,0.222148,0.0613047,0.0817453,0.0228953,0.21047,800,true
0.05,0.75,1,1000,0.0924,0.19792,0.1055,0.151689,0.105688,0.109325,0.0763406,0.161137,800,false
0.05,0.75,1,10000,0.148723,0.185544,0.144186,0.0994672,0.162006,0.0139875,0.121956,0.12413,800,false
0.05,0.75,1,50000,0.159125,0.189027,0.154417,0.0850281,0.169603,0,0.133603,0.109197,800,false
0.35,0.75,1,250000,0.100248,0.218792,0.118908,0.0777203,0.202792,0,0.153548,0.127991,800,false
0.05,0.75,1,50000,0.157862,0.180602,0.160017,0.0843875,0.174773,0,0.122416,0.119942,800,false
0.05,0.75,1,100000,0.149613,0.186231,0.154398,0.0872219,0.184027,0,0.130339,0.10817,800,false
0.35,0.75,1,250000,0.109305,0.218189,0.129655,0.0720609,0.210633,0,0.15087,0.109287,800,false
0.05,0.75,1,100000,0.150844,0.17732,0.156147,0.0995063,0.181406,0,0.126427,0.10835,800,false
0.05,0.75,1,250000,0.1518,0.183822,0.143725,0.0878094,0.193791,0,0.124331,0.114722,800,false
0.05,0.75,1,250000,0.156413,0.17333,0.159022,0.0837688,0.187214,0,0.127806,0.112447,800,false
0.35,0.75,1,500000,0.107491,0.212281,0.126167,0.0714266,0.218177,0,0.1398,0.124658,800,false
0.4,0.75,1,1000,0.0359047,0.253292,0.0503031,0.161075,0.0817469,0.149883,0.0624688,0.205327,800,false
0.4,0.75,1,10000,0,0.246095,0,0.247169,0,0.255141,0,0.251595,800,false
0.35,0.75,1,500000,0.0962797,0.215734,0.122237,0.0656812,0.221197,0,0.145944,0.132927,800,false
0.4,0.75,1,1000,0.0197375,0.25265,0.0248766,0.214287,0.0525625,0.182919,0.0359063,0.217061,800,false
0.4,0.75,1,10000,0,0.253252,0,0.243273,0,0.255948,0,0.247527,800,false
