alpha,beta,gamma,mcs,s0,s1,s2,s3,s4,s5,s6,s7,length,stable
0.05,0.75,1,3000,0.116495,0.182589,0.12035,0.119394,0.144961,0.051225,0.109778,0.155208,800,0
0.05,0.75,1,5000,0.142344,0.183642,0.144394,0.0984109,0.1543,0.019675,0.125197,0.132038,800,0
0.05,0.75,1,7000,0.136989,0.193339,0.149434,0.0980313,0.157656,0.0178656,0.1245,0.122184,800,0
0.05,0.75,1,10000,0.149234,0.178027,0.146158,0.0909969,0.161423,0.019075,0.121362,0.133723,800,0
0.05,0.75,1,25000,0.152789,0.177639,0.154292,0.0978203,0.180792,0,0.12543,0.111238,800,0
0.05,0.75,1,50000,0.14607,0.175144,0.154281,0.0878875,0.181811,0,0.134398,0.120408,800,0
0.4,0.75,1,1000,0.0312656,0.231634,0.0373812,0.203981,0.0585641,0.171652,0.0462953,0.219227,800,0
0.4,0.75,1,2000,0.00506875,0.260502,0.00693281,0.226622,0.0190359,0.227311,0.0143328,0.240195,800,0
0.4,0.75,1,3000,0,0.249325,0,0.247222,0.000264062,0.240592,0,0.262597,800,0
0.4,0.75,1,5000,0,0.246814,0,0.248302,0,0.254661,0,0.250223,800,0
0.4,0.75,1,7000,0,0.240561,0,0.25145,0,0.252683,0,0.255306,800,0
0.4,0.75,1,10000,0,0.246228,0,0.246959,0,0.252786,0,0.254027,800,0
0.4,0.75,1,25000,0,0.249386,0,0.250248,0,0.252642,0,0.247723,800,0
0.4,0.75,1,50000,0,0.244705,0,0.244069,0,0.249913,0,0.261314,800,0
0,0.75,1,1000,0.00197344,0.39373,0.00618281,0.221459,0.0622922,0.0808484,0.0214422,0.212072,800,450
0,0.75,1,2000,0.00197344,0.39373,0.00618281,0.221459,0.0622922,0.0808484,0.0214422,0.212072,800,450
0,0.75,1,3000,0.00197344,0.39373,0.00618281,0.221459,0.0622922,0.0808484,0.0214422,0.212072,800,450
0,0.75,1,5000,0.00197344,0.39373,0.00618281,0.221459,0.0622922,0.0808484,0.0214422,0.212072,800,450
0,0.75,1,7000,0.00197344,0.39373,0.00618281,0.221459,0.0622922,0.0808484,0.0214422,0.212072,800,450
0,0.75,1,10000,0.00197344,0.39373,0.00618281,0.221459,0.0622922,0.0808484,0.0214422,0.212072,800,450
0,0.75,1,25000,0.00197344,0.39373,0.00618281,0.221459,0.0622922,0.0808484,0.0214422,0.212072,800,450
0,0.75,1,50000,0.00197344,0.39373,0.00618281,0.221459,0.0622922,0.0808484,0.0214422,0.212072,800,450
0.1,0.75,1,1000,0.127509,0.189348,0.124884,0.119231,0.14125,0.0402766,0.116391,0.141109,800,0
0.1,0.75,1,2000,0.13158,0.191087,0.143798,0.0976172,0.159447,0.0165125,0.138272,0.121686,800,0
0.1,0.75,1,3000,0.154711,0.171525,0.145233,0.0972734,0.164542,0.00864844,0.13555,0.122517,800,0
0.1,0.75,1,5000,0.151814,0.17587,0.153512,0.0877047,0.185459,0.00240938,0.134158,0.109072,800,0
