MCS,ROCK,PAPER,SCISSORS,LIZARD,SPOCK
307,3.485,0.68,32.805,25.33,32.125
308,3.5125,0.655,32.59,25.275,32.4825
309,3.585,0.6525,32.4,24.9575,32.8125
310,3.595,0.6325,32.115,24.85,33.0725
311,3.6425,0.64,31.82,24.785,33.2875
312,3.6825,0.6225,31.64,24.705,33.5825
313,3.75,0.6325,31.405,24.475,33.97
314,3.84,0.6425,31.26,24.4325,34.325
315,3.79,0.6325,30.98,24.4475,34.54
316,3.77,0.645,30.805,24.2675,34.8
317,3.7825,0.6475,30.6625,24.18,35.0225
318,3.795,0.665,30.5525,24.12,35.35
319,3.8125,0.6725,30.3925,23.97,35.745
320,3.785,0.6625,30.17,23.955,36.0375
321,3.81,0.6575,29.7875,24,36.1625
322,3.77,0.69,29.6775,23.775,36.42
323,3.77,0.6925,29.58,23.8975,36.49
324,3.79,0.705,29.1575,23.8375,36.7675
325,3.765,0.74,28.9825,23.7325,37.1025
326,3.79,0.74,28.7525,23.75,37.36
327,3.815,0.7675,28.5225,23.67,37.705
328,3.81,0.7875,28.275,23.65,37.905
329,3.81,0.805,27.97,23.765,38.035
330,3.78,0.835,27.6875,23.88,38.2825
331,3.84,0.8625,27.3125,23.9575,38.36
332,3.8275,0.8975,27.0925,23.895,38.665
333,3.8575,0.9125,26.785,24.085,38.8475
334,3.8275,0.9025,26.5375,24.0775,38.9775
335,3.7775,0.9325,26.3175,24.1575,39.1175
336,3.815,0.95,26.0125,24.285,39.225
337,3.81,0.97,25.755,24.3825,39.375
338,3.8125,0.9975,25.5025,24.5225,39.525
339,3.765,1.015,25.295,24.7,39.4025
340,3.7725,1.04,25.125,24.745,39.4475
341,3.785,1.045,24.8825,24.82,39.54
342,3.725,1.05,24.81,24.8775,39.5375
343,3.7275,1.0725,24.7875,25.0075,39.585
344,3.715,1.0575,24.655,25.205,39.6425
345,3.7,1.0725,24.5175,25.2575,39.585
346,3.725,1.075,24.515,25.4825,39.5675
347,3.7125,1.0875,24.35,25.6425,39.52
348,3.6725,1.1125,24.2025,25.885,39.49
349,3.6175,1.13,24.0275,26.12,39.38
350,3.64,1.1475,23.79,26.3575,39.345
351,3.61,1.1625,23.7075,26.4975,39.1525
352,3.5675,1.1675,23.485,26.785,39.0775
353,3.555,1.1875,23.4425,27.095,39.0075
354,3.5275,1.1875,23.4025,27.3525,38.8575
355,3.48,1.195,23.25,27.6725,38.7325
356,3.4125,1.2,23.2175,27.92,38.5275
357,3.37,1.22,23.1,28.1275,38.335
358,3.3125,1.23,23.135,28.3925,38.1825
359,3.245,1.2525,23.0275,28.66,37.8425
360,3.22,1.265,23.0975,28.9375,37.56
361,3.1725,1.2475,23.2175,29.0775,37.26
362,3.175,1.25,23.1275,29.37,37.05
363,3.14,1.26,23.205,29.6225,36.775
364,3.1025,1.2675,23.28,29.9525,36.61
365,3.09,1.2625,23.13,30.16,36.35
366,3.0125,1.2575,23.25,30.4225,36.1125
367,2.99,1.2925,23.165,30.7025,35.77
368,2.97,1.315,23.195,31.0125,35.5675
369,2.99,1.3175,23.28,31.31,35.25
370,2.9175,1.3075,23.32,31.6225,34.93
371,2.8725,1.335,23.4475,31.9,34.4475
372,2.8125,1.315,23.455,32.1125,34.0925
373,2.775,1.2775,23.5525,32.47,33.8125
374,2.78,1.29,23.6975,32.645,33.475
375,2.7475,1.28,23.875,32.7125,33.2525
376,2.74,1.2925,24.065,33.11,32.9075
377,2.73,1.295,24.0525,33.19,32.5725
378,2.645,1.265,24.2025,33.5475,32.3025
379,2.625,1.24,24.39,33.54,32
380,2.6125,1.2075,24.545,33.79,31.83
381,2.56,1.145,24.8275,33.8825,31.6225
382,2.565,1.1175,24.925,34.0175,31.3775
383,2.5425,1.11,25.045,33.9825,31.2325
384,2.4925,1.105,25.21,34.2,31.015
385,2.4975,1.0825,25.4325,34.225,30.8925
386,2.4925,1.0225,25.6025,34.325,30.675
387,2.48,0.9975,25.635,34.23,30.56
388,2.455,0.9775,25.9125,34.29,30.405
389,2.4725,0.9475,26.2225,34.215,30.1725
390,2.4625,0.8925,26.465,34.045,29.98
391,2.4575,0.8725,26.7425,34.0475,29.85
392,2.4525,0.855,27.0125,33.94,29.615
393,2.43,0.83,27.2975,33.925,29.365
394,2.385,0.805,27.565,33.9525,29.2
395,2.3625,0.775,27.75,33.72,29.2575
396,2.36,0.7175,27.9175,33.715,29.17
397,2.3375,0.6625,28.1975,33.5275,29.1225
398,2.3575,0.6425,28.465,33.4475,29.035
399,2.3375,0.6325,28.7225,33.385,28.9025
400,2.375,0.5925,28.8525,33.2475,28.755
401,2.4075,0.5825,28.9625,33.0875,28.76
402,2.48,0.5675,29.2325,32.7325,28.6675
403,2.475,0.54,29.4525,32.615,28.59
404,2.5,0.52,29.59,32.5725,28.4725
405,2.5225,0.5125,29.7725,32.3525,28.515
406,2.515,0.4875,30.0075,32.2025,28.3725
407,2.6,0.48,30.1775,32.1725,28.3325
408,2.645,0.4675,30.225,32.09,28.335
409,2.6675,0.4475,30.3475,32.0875,28.315
410,2.68,0.465,30.4275,31.7925,28.4225
411,2.7075,0.435,30.59,31.735,28.425
412,2.7625,0.4025,30.6275,31.7025,28.3
413,2.7925,0.38,30.745,31.56,28.2725
414,2.83,0.3475,30.87,31.4175,28.4
415,2.8275,0.3425,30.8475,31.16,28.2975
416,2.855,0.305,30.975,31.13,28.2825
417,2.9375,0.2925,31.0825,31.02,28.325
418,2.9975,0.295,31.1325,30.8325,28.4025
419,3.0275,0.265,31.1875,30.475,28.455
420,3.1225,0.2425,31.2225,30.2625,28.58
421,3.21,0.225,31.3525,30.0925,28.5825
422,3.26,0.215,31.535,30.09,28.6075
423,3.3025,0.21,31.6,29.905,28.62
424,3.34,0.185,31.605,29.7625,28.5575
425,3.41,0.175,31.59,29.68,28.7825
426,3.4275,0.1825,31.765,29.46,28.7525
427,3.48,0.1625,31.875,29.3525,28.905
428,3.5125,0.175,31.9525,29.1,28.95
429,3.595,0.1675,31.9325,28.9325,28.8725
430,3.5775,0.155,31.88,28.855,29.06
431,3.655,0.15,31.8375,28.7575,29.2175
432,3.6975,0.14,31.815,28.6775,29.3625
433,3.715,0.1325,31.875,28.595,29.56
434,3.7575,0.1325,31.7,28.48,29.88
435,3.7525,0.1275,31.64,28.2075,29.9925
436,3.8175,0.1175,31.54,28,30.1275
437,3.875,0.12,31.635,27.865,30.2175
438,3.9025,0.13,31.535,27.7775,30.4725
439,3.9125,0.13,31.335,27.505,30.745
440,3.9625,0.1375,31.2225,27.415,30.8
441,3.99,0.1425,31.145,27.275,31.06
442,4.0625,0.1425,30.9425,27.275,31.1775
443,4.0475,0.1425,30.64,27.16,31.4125
444,4.045,0.1475,30.565,27.2625,31.395
445,4.1075,0.15,30.41,27.1975,31.755
446,4.105,0.155,30.2025,27.1575,31.9925
447,4.1225,0.1725,30.065,27.075,32.2925
448,4.13,0.1725,30,26.9775,32.4475
449,4.1525,0.18,29.935,26.84,32.5725
450,4.2125,0.185,29.7075,26.9,32.69
451,4.18,0.1775,29.565,26.8925,32.845
452,4.23,0.1775,29.345,26.74,33.17
453,4.2225,0.1875,28.9575,26.82,33.515
454,4.2575,0.18,28.845,26.76,33.6725
455,4.3025,0.1925,28.6325,26.745,33.905
456,4.3525,0.19,28.435,26.7225,34.0175
457,4.4125,0.1975,28.32,26.6,34.295
458,4.405,0.2125,28.0675,26.63,34.3
459,4.48,0.2175,27.9525,26.615,34.5175
460,4.475,0.2325,27.9175,26.5725,34.6275
461,4.51,0.2425,27.8275,26.57,34.7275
462,4.505,0.245,27.63,26.51,34.8825
463,4.5525,0.2475,27.565,26.48,34.9125
464,4.5625,0.2575,27.295,26.555,34.9
465,4.515,0.25,27.165,26.7625,35.0475
466,4.57,0.27,26.9975,26.845,35.135
467,4.6775,0.265,27.0725,26.865,34.9325
468,4.6425,0.265,26.885,26.9875,34.79
469,4.6475,0.265,26.8475,26.9825,34.89
470,4.67,0.26,26.6675,27.125,34.8775
471,4.7525,0.2575,26.7525,27.2875,34.77
472,4.7775,0.25,26.5525,27.4575,34.7775
473,4.8075,0.25,26.4375,27.6275,34.7025
474,4.81,0.2475,26.43,27.7375,34.5975
475,4.805,0.2425,26.1975,27.955,34.5275
476,4.81,0.25,26.12,28.115,34.53
477,4.805,0.225,26,28.2125,34.55
478,4.8475,0.2125,26.0125,28.3525,34.46
479,4.8675,0.2025,25.85,28.53,34.6625
480,4.9375,0.19,25.65,28.6625,34.68
481,4.9925,0.1975,25.5175,28.91,34.5925
482,4.945,0.18,25.38,29.1275,34.3975
483,4.9825,0.1775,25.3175,29.38,34.2225
484,4.9575,0.1775,25.0725,29.415,34.18
485,4.91,0.15,25.025,29.5175,34.165
486,4.91,0.1475,24.9925,29.6375,34.2775
487,4.9025,0.16,25.065,29.82,34.01
488,4.89,0.1525,25.055,30,33.945
489,4.9275,0.16,24.935,30.025,33.6925
490,4.935,0.1575,24.985,30.2375,33.6475
491,4.8925,0.145,24.92,30.2775,33.575
492,4.8325,0.1425,24.975,30.595,33.365
493,4.825,0.14,24.7625,30.7475,33.395
494,4.81,0.1375,24.705,30.8475,33.3425
495,4.81,0.115,24.705,30.9825,33.32
496,4.785,0.11,24.5825,31.29,33.22
497,4.71,0.11,24.4775,31.385,33.11
498,4.6925,0.11,24.4625,31.5325,33.1425
499,4.61,0.1125,24.415,31.565,33.145
500,4.5575,0.12,24.3925,31.76,33.135
501,4.4825,0.125,24.23,31.825,33.14
502,4.435,0.1225,24.145,32.065,33.245
503,4.405,0.1225,24.135,32.2275,33.13
504,4.315,0.12,24.0775,32.3475,33.085
505,4.3225,0.1125,23.935,32.5275,32.7725
506,4.28,0.1125,23.985,32.645,32.8125
507,4.2575,0.1025,23.8325,33.03,32.625
508,4.2475,0.11,23.825,33.0475,32.6375
509,4.2125,0.1025,23.69,33.12,32.5925
510,4.1675,0.1025,23.6825,33.235,32.575
511,4.145,0.105,23.675,33.505,32.485
512,4.145,0.105,23.53,33.685,32.4475
513,4.0575,0.0975,23.4575,33.7325,32.395
514,4.075,0.0975,23.47,33.7625,32.3675
515,4.0475,0.1,23.46,33.905,32.1625
516,4.03,0.1125,23.4825,34.07,32.0475
517,3.98,0.105,23.55,34.3325,31.7825
518,3.965,0.1,23.58,34.3,31.6375
519,3.965,0.0925,23.7,34.5475,31.4875
520,3.95,0.095,23.8175,34.535,31.4675
521,3.8875,0.09,23.9475,34.7125,31.315
522,3.8475,0.0975,23.8775,34.705,31.2475
523,3.8175,0.0925,24.1325,34.6625,31.26
524,3.79,0.075,24.1475,34.8375,31.1675
525,3.7425,0.075,24.27,34.8275,30.92
526,3.715,0.0725,24.315,34.89,31.0175
527,3.72,0.0625,24.31,35.0625,30.89
528,3.7225,0.06,24.275,35.135,30.83
529,3.6975,0.0575,24.195,35.16,30.6875
530,3.7025,0.0625,24.3075,35.1475,30.6175
531,3.6975,0.065,24.405,35.32,30.5225
532,3.64,0.0475,24.465,35.3075,30.315
533,3.6325,0.0475,24.68,35.3125,30.2275
534,3.68,0.0425,24.7475,35.5125,29.995
535,3.6875,0.04,24.75,35.5875,29.8375
536,3.7,0.0375,24.8425,35.6375,29.9
537,3.64,0.0275,24.82,35.7775,29.7575
538,3.655,0.02,24.8175,35.7275,29.55
539,3.69,0.025,24.925,35.895,29.545
540,3.6675,0.015,25.18,35.945,29.31
541,3.64,0.02,25.27,36.035,29.1975
542,3.6275,0.0175,25.275,35.9775,29.0825
543,3.625,0.01,25.3125,36.0125,28.8925
544,3.6525,0.01,25.3775,36.12,28.9375
545,3.62,0.0125,25.5925,35.965,28.8075
546,3.6075,0.005,25.7025,36.0525,28.8375
547,3.62,0.0025,25.695,36.1025,28.77
548,3.6725,0.0025,25.6925,36.005,28.735
549,3.715,0.0025,25.815,35.885,28.6525
550,3.715,0,25.85,35.9125,28.4075
551,3.7425,0,26.005,35.895,28.46
552,3.77,0,26.1525,35.82,28.34
553,3.7975,0,26.235,35.6675,28.28
554,3.805,0,26.43,35.585,28.305
555,3.8125,0,26.495,35.48,28.235
556,3.7925,0,26.7625,35.3375,28.17
557,3.7775,0,26.9675,35.185,28.035
558,3.8275,0,27.1775,35.0925,27.96
559,3.8175,0,27.275,34.86,28.025
560,3.92,0,27.35,34.67,27.89
561,3.895,0,27.5525,34.4975,27.745
562,3.8925,0,27.7325,34.3475,27.69
563,3.9575,0,28.03,34.105,27.6575
564,3.985,0,28.145,34.02,27.835
565,4.08,0,28.2225,33.8075,27.745
566,4.0925,0,28.3575,33.67,27.775
567,4.1525,0,28.585,33.4325,27.76
568,4.1675,0,28.75,33.1075,27.805
569,4.16,0,28.8875,32.8825,27.67
