mcs,s1,s2,s3
730,29.847,29.0223,31.2708
731,29.825,29.0491,31.278
732,29.8164,29.0591,31.2664
733,29.7919,29.1109,31.2387
734,29.8109,29.1219,31.2075
735,29.8241,29.1194,31.1973
736,29.7716,29.1786,31.1734
737,29.7469,29.193,31.1914
738,29.7408,29.2202,31.148
739,29.7269,29.2662,31.1473
740,29.6986,29.3259,31.1419
741,29.7039,29.363,31.1258
742,29.6814,29.4023,31.1056
743,29.6628,29.4219,31.0742
744,29.6284,29.4564,31.0369
745,29.6105,29.4397,31.0513
746,29.5806,29.4975,31.0381
747,29.5502,29.4991,31.0375
748,29.5456,29.528,31.0364
749,29.5442,29.5691,31.038
750,29.5408,29.5789,30.9998
751,29.5447,29.6189,30.9753
752,29.5241,29.6306,30.9383
753,29.5298,29.6722,30.9472
754,29.4867,29.7059,30.9516
755,29.4531,29.7298,30.9527
756,29.4917,29.7359,30.9062
757,29.5152,29.7662,30.8705
758,29.4991,29.803,30.8302
759,29.4789,29.8447,30.8261
760,29.4842,29.8525,30.7833
761,29.5036,29.8975,30.7725
762,29.4958,29.9252,30.7497
763,29.453,29.9316,30.748
764,29.4409,29.9489,30.7348
765,29.4559,29.9852,30.7053
766,29.4278,30.0114,30.7038
767,29.402,30.0311,30.6902
768,29.417,30.0391,30.6803
769,29.4102,30.0603,30.698
770,29.422,30.0306,30.6666
771,29.4159,30.058,30.643
772,29.4148,30.0745,30.6297
773,29.4267,30.1039,30.6113
774,29.3991,30.1088,30.5617
775,29.3955,30.1297,30.567
776,29.4,30.158,30.518
777,29.3833,30.1658,30.5127
778,29.3612,30.1825,30.4311
779,29.3752,30.2337,30.4192
780,29.3659,30.2502,30.3955
781,29.3794,30.2627,30.3725
782,29.3795,30.2559,30.3864
783,29.3914,30.2995,30.3589
784,29.3753,30.32,30.3652
785,29.3767,30.3194,30.3303
786,29.3691,30.3402,30.2892
787,29.3413,30.3627,30.2497
788,29.3472,30.3973,30.2228
789,29.3811,30.3959,30.2484
790,29.4109,30.372,30.1633
791,29.42,30.3742,30.1652
792,29.4309,30.4255,30.1327
793,29.4383,30.4223,30.1419
794,29.4133,30.4438,30.1206
795,29.41,30.4458,30.1175
796,29.4264,30.4641,30.1136
797,29.4178,30.4977,30.0742
798,29.4459,30.498,30.0266
799,29.4566,30.5041,30.0023
800,29.493,30.5227,29.9661
801,29.4906,30.5214,29.9389
802,29.4733,30.5289,29.9366
803,29.4997,30.5702,29.9011
804,29.5008,30.5609,29.907
805,29.5236,30.5955,29.8747
806,29.5384,30.5883,29.8505
807,29.6033,30.6047,29.8428
808,29.6295,30.6014,29.8311
809,29.6389,30.6208,29.7881
810,29.6623,30.6214,29.7795
811,29.6678,30.5861,29.7342
812,29.7019,30.5795,29.7389
813,29.7231,30.5759,29.7438
814,29.733,30.5642,29.7258
815,29.7545,30.5808,29.7247
816,29.7917,30.5745,29.6895
817,29.8059,30.5639,29.7153
818,29.813,30.5789,29.6898
819,29.8384,30.5456,29.662
820,29.8503,30.5555,29.6428
821,29.8742,30.5553,29.6234
822,29.903,30.5738,29.6269
823,29.8941,30.6344,29.6062
824,29.9527,30.5961,29.593
825,29.9673,30.54,29.5741
826,29.9952,30.51,29.5605
827,30.033,30.5047,29.5575
828,30.0717,30.507,29.5552
829,30.1108,30.4741,29.5802
830,30.1036,30.4814,29.5389
831,30.1083,30.4623,29.5497
832,30.1242,30.4561,29.5348
833,30.1797,30.4195,29.5322
